Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI
22-July-2025,idrepo,0,0,0,0,0,0,,,21-July-2025,auth,512,20,492,0,0,0,,,21-July-2025,auth,512,198,157,153,4,0,,,20-July-2025,dsl,3,0,1,2,0,0,,,19-July-2025,dsl,3,2,0,1,0,0
22-July-2025,masterdata-ara,0,0,0,0,0,0,,,21-July-2025,idrepo,410,322,0,4,84,0,,,21-July-2025,idrepo,410,322,0,4,84,0,,,,,,,,,,,,,,,,,,,,
22-July-2025,masterdata-fra,945,920,0,11,15,0,,,21-July-2025,masterdata-eng,945,935,0,10,0,0,,,21-July-2025,masterdata-eng,945,935,0,10,0,0,,,,,,,,,,,,,,,,,,,,
22-July-2025,masterdata-hin,0,921,0,10,15,0,,,21-July-2025,masterdata-fra,945,920,0,10,15,0,,,21-July-2025,masterdata-fra,945,920,0,10,15,0,,,,,,,,,,,,,,,,,,,,
22-July-2025,masterdata-kan,945,920,0,10,15,0,,,21-July-2025,masterdata-hin,945,920,0,10,15,0,,,21-July-2025,masterdata-hin,945,920,0,10,15,0,,,,,,,,,,,,,,,,,,,,
22-July-2025,pms,509,332,134,31,0,12,,,21-July-2025,masterdata-tam,945,919,0,11,15,0,,,21-July-2025,masterdata-tam,945,920,0,10,15,0,,,,,,,,,,,,,,,,,,,,
22-July-2025,prereg,281,1,74,0,0,0,,,21-July-2025,pms,509,332,134,31,0,12,,,21-July-2025,pms,509,332,134,31,0,12,,,,,,,,,,,,,,,,,,,,
22-July-2025,dsl,1197,6,0,191,0,0,,,21-July-2025,resident,1126,0,1126,0,0,0,,,21-July-2025,resident,1126,31,1028,67,0,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,21-July-2025,dsl,197,27,0,170,0,0,,,21-July-2025,dsl,3,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,
22-July-2025,masterdata-eng,945,935,0,10,0,0,,,21-July-2025,masterdata-ara,945,920,0,10,15,0,,,21-July-2025,masterdata-ara,945,920,0,10,15,0,,,,,,,,,,,,,,,,,,,,
22-July-2025,masterdata-tam,945,920,0,10,15,0,,,21-July-2025,masterdata-kan,945,920,0,10,15,0,,,21-July-2025,masterdata-kan,945,920,0,10,15,0,,,,,,,,,,,,,,,,,,,,
22-July-2025,resident,0,0,0,0,0,0,,,21-July-2025,prereg,281,225,4,52,0,0,,,21-July-2025,prereg,281,225,4,52,0,0,,,,,,,,,,,,,,,,,,,,
